perinatal_dx_code,perinatal_dx_catagory,perinatal_dx_descrip,perinatal_icd_code
O36.5930,,"Maternal care for other known or suspected poor fetal growth, third trimester, not applicable or unspecified",ICD10
O41.03X0,,"Oligohydramnios, third trimester, not applicable or unspecified",ICD10
O28.8,,Other abnormal findings on antenatal screening of mother,ICD10
O14.00,,"Mild to moderate pre-eclampsia, unspecified trimester",ICD10
O11.4,,"Pre-existing hypertension with pre-eclampsia, complicating childbirth",ICD10
O62.1,,Secondary uterine inertia,ICD10
O99.334,,Smoking (tobacco) complicating childbirth,ICD10
O23.592,,"Infection of other part of genital tract in pregnancy, second trimester",ICD10
O99.324,,Drug use complicating childbirth,ICD10
O24.311,,"Unspecified pre-existing diabetes mellitus in pregnancy, first trimester",ICD10
O16.3,,"Unspecified maternal hypertension, third trimester",ICD10
O24.415,,"Gestational diabetes mellitus in pregnancy, controlled by oral hypoglycemic drugs",ICD10
O99.333,,"Smoking (tobacco) complicating pregnancy, third trimester",ICD10
O22.03,,"Varicose veins of lower extremity in pregnancy, third trimester",ICD10
O12.03,,"Gestational edema, third trimester",ICD10
O70.0,,First degree perineal laceration during delivery,ICD10
O22.23,,"Superficial thrombophlebitis in pregnancy, third trimester",ICD10
O34.30,,"Maternal care for cervical incompetence, unspecified trimester",ICD10
O24.425,,"Gestational diabetes mellitus in childbirth, controlled by oral hypoglycemic drugs",ICD10
O99.412,,"Diseases of the circulatory system complicating pregnancy, second trimester",ICD10
O10.32,,Pre-existing hypertensive heart and chronic kidney disease complicating childbirth,ICD10
O99.512,,"Diseases of the respiratory system complicating pregnancy, second trimester",ICD10
O35.9XX0,,"Maternal care for (suspected) fetal abnormality and damage, unspecified, not applicable or unspecified",ICD10
O98.82,,Other maternal infectious and parasitic diseases complicating childbirth,ICD10
O99.332,,"Smoking (tobacco) complicating pregnancy, second trimester",ICD10
O28.0,,Abnormal hematological finding on antenatal screening of mother,ICD10
O36.5920,,"Maternal care for other known or suspected poor fetal growth, second trimester, not applicable or unspecified",ICD10
O99.322,,"Drug use complicating pregnancy, second trimester",ICD10
O44.13,,"Complete placenta previa with hemorrhage, third trimester",ICD10
O98.513,,"Other viral diseases complicating pregnancy, third trimester",ICD10
O44.03,,"Complete placenta previa NOS or without hemorrhage, third trimester",ICD10
O44.23,,"Partial placenta previa NOS or without hemorrhage, third trimester",ICD10
O44.00,,"Complete placenta previa NOS or without hemorrhage, unspecified trimester",ICD10
O99.340,,"Other mental disorders complicating pregnancy, unspecified trimester",ICD10
O35.1XX0,,"Maternal care for (suspected) chromosomal abnormality in fetus, not applicable or unspecified",ICD10
O99.892,,Other specified diseases and conditions complicating childbirth,ICD10
O44.10,,"Complete placenta previa with hemorrhage, unspecified trimester",ICD10
O44.02,,"Complete placenta previa NOS or without hemorrhage, second trimester",ICD10
O44.50,,"Low lying placenta with hemorrhage, unspecified trimester",ICD10
O22.30,,"Deep phlebothrombosis in pregnancy, unspecified trimester",ICD10
O99.810,,Abnormal glucose complicating pregnancy,ICD10
O98.52,,Other viral diseases complicating childbirth,ICD10
O42.02,,"Full-term premature rupture of membranes, onset of labor within 24 hours of rupture",ICD10
O26.92,,"Pregnancy related conditions, unspecified, second trimester",ICD10
O16.1,,"Unspecified maternal hypertension, first trimester",ICD10
O26.21,,"Pregnancy care for patient with recurrent pregnancy loss, first trimester",ICD10
O10.911,,"Unspecified pre-existing hypertension complicating pregnancy, first trimester",ICD10
O10.011,,"Pre-existing essential hypertension complicating pregnancy, first trimester",ICD10
O36.5993,,"Maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 3",ICD10
O13.1,,"Gestational [pregnancy-induced] hypertension without significant proteinuria, first trimester",ICD10
O43.123,,"Velamentous insertion of umbilical cord, third trimester",ICD10
O36.63X0,,"Maternal care for excessive fetal growth, third trimester, not applicable or unspecified",ICD10
O24.424,,"Gestational diabetes mellitus in childbirth, insulin controlled",ICD10
O16.4,,"Unspecified maternal hypertension, complicating childbirth",ICD10
O99.011,,"Anemia complicating pregnancy, first trimester",ICD10
O03.89,,Complete or unspecified spontaneous abortion with other complications,ICD10
O34.80,,"Maternal care for other abnormalities of pelvic organs, unspecified trimester",ICD10
O99.330,,"Smoking (tobacco) complicating pregnancy, unspecified trimester",ICD10
O36.0930,,"Maternal care for other rhesus isoimmunization, third trimester, not applicable or unspecified",ICD10
O26.93,,"Pregnancy related conditions, unspecified, third trimester",ICD10
O35.0XX0,,"Maternal care for (suspected) central nervous system malformation in fetus, not applicable or unspecified",ICD10
O35.8XX1,,"Maternal care for other (suspected) fetal abnormality and damage, fetus 1",ICD10
O35.9XX1,,"Maternal care for (suspected) fetal abnormality and damage, unspecified, fetus 1",ICD10
O35.8XX9,,"Maternal care for other (suspected) fetal abnormality and damage, other fetus",ICD10
O41.00X0,,"Oligohydramnios, unspecified trimester, not applicable or unspecified",ICD10
O24.119,,"Pre-existing type 2 diabetes mellitus, in pregnancy, unspecified trimester",ICD10
O34.32,,"Maternal care for cervical incompetence, second trimester",ICD10
O34.33,,"Maternal care for cervical incompetence, third trimester",ICD10
O42.913,,"Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, third trimester",ICD10
O45.90,,"Premature separation of placenta, unspecified, unspecified trimester",ICD10
O99.323,,"Drug use complicating pregnancy, third trimester",ICD10
O45.93,,"Premature separation of placenta, unspecified, third trimester",ICD10
O98.42,,Viral hepatitis complicating childbirth,ICD10
O03.80,,Unspecified complication following complete or unspecified spontaneous abortion,ICD10
O03.6,,Delayed or excessive hemorrhage following complete or unspecified spontaneous abortion,ICD10
O00.90,,Unspecified ectopic pregnancy without intrauterine pregnancy,ICD10
O23.00,,"Infections of kidney in pregnancy, unspecified trimester",ICD10
O72.1,,Other immediate postpartum hemorrhage,ICD10
O10.03,,Pre-existing essential hypertension complicating the puerperium,ICD10
O24.111,,"Pre-existing type 2 diabetes mellitus, in pregnancy, first trimester",ICD10
O14.14,,Severe pre-eclampsia complicating childbirth,ICD10
O14.03,,"Mild to moderate pre-eclampsia, third trimester",ICD10
O99.353,,"Diseases of the nervous system complicating pregnancy, third trimester",ICD10
O24.93,,Unspecified diabetes mellitus in the puerperium,ICD10
O36.80X1,,"Pregnancy with inconclusive fetal viability, fetus 1",ICD10
O61.8,,Other failed induction of labor,ICD10
O75.5,,Delayed delivery after artificial rupture of membranes,ICD10
O99.843,,"Bariatric surgery status complicating pregnancy, third trimester",ICD10
O60.14X1,,"Preterm labor third trimester with preterm delivery third trimester, fetus 1",ICD10
O41.1230,,"Chorioamnionitis, third trimester, not applicable or unspecified",ICD10
O22.43,,"Hemorrhoids in pregnancy, third trimester",ICD10
O34.63,,"Maternal care for abnormality of vagina, third trimester",ICD10
O46.91,,"Antepartum hemorrhage, unspecified, first trimester",ICD10
O62.0,,Primary inadequate contractions,ICD10
O66.40,,"Failed trial of labor, unspecified",ICD10
O36.62X0,,"Maternal care for excessive fetal growth, second trimester, not applicable or unspecified",ICD10
O69.0XX0,,"Labor and delivery complicated by prolapse of cord, not applicable or unspecified",ICD10
O36.1929,,"Maternal care for other isoimmunization, second trimester, other fetus",ICD10
O42.90,,"Premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, unspecified weeks of gestation",ICD10
O62.9,,"Abnormality of forces of labor, unspecified",ICD10
O10.412,,"Pre-existing secondary hypertension complicating pregnancy, second trimester",ICD10
O43.129,,"Velamentous insertion of umbilical cord, unspecified trimester",ICD10
O10.912,,"Unspecified pre-existing hypertension complicating pregnancy, second trimester",ICD10
O43.193,,"Other malformation of placenta, third trimester",ICD10
O86.12,,Endometritis following delivery,ICD10
O42.113,,"Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, third trimester",ICD10
O13.5,,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating the puerperium",ICD10
O86.4,,Pyrexia of unknown origin following delivery,ICD10
O99.845,,Bariatric surgery status complicating the puerperium,ICD10
O85,,Puerperal sepsis,ICD10
O86.00,,"Infection of obstetric surgical wound, unspecified",ICD10
O86.03,,"Infection of obstetric surgical wound, organ and space site",ICD10
O42.919,,"Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, unspecified trimester",ICD10
O60.13X0,,"Preterm labor second trimester with preterm delivery third trimester, not applicable or unspecified",ICD10
O24.013,,"Pre-existing type 1 diabetes mellitus, in pregnancy, third trimester",ICD10
O45.8X3,,"Other premature separation of placenta, third trimester",ICD10
O34.03,,"Maternal care for unspecified congenital malformation of uterus, third trimester",ICD10
O36.8390,,"Maternal care for abnormalities of the fetal heart rate or rhythm, unspecified trimester, not applicable or unspecified",ICD10
O61.9,,"Failed induction of labor, unspecified",ICD10
O34.29,,Maternal care due to uterine scar from other previous surgery,ICD10
O14.04,,"Mild to moderate pre-eclampsia, complicating childbirth",ICD10
O92.4,,Hypogalactia,ICD10
O43.122,,"Velamentous insertion of umbilical cord, second trimester",ICD10
O14.94,,"Unspecified pre-eclampsia, complicating childbirth",ICD10
O00.102,,Left tubal pregnancy without intrauterine pregnancy,ICD10
O00.202,,Left ovarian pregnancy without intrauterine pregnancy,ICD10
O08.89,,Other complications following an ectopic and molar pregnancy,ICD10
O75.3,,Other infection during labor,ICD10
O43.93,,"Unspecified placental disorder, third trimester",ICD10
O46.8X3,,"Other antepartum hemorrhage, third trimester",ICD10
O11.5,,"Pre-existing hypertension with pre-eclampsia, complicating the puerperium",ICD10
O99.119,,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, unspecified trimester",ICD10
O71.82,,Other specified trauma to perineum and vulva,ICD10
O99.12,,Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating childbirth,ICD10
O36.0111,,"Maternal care for anti-D [Rh] antibodies, first trimester, fetus 1",ICD10
O99.331,,"Smoking (tobacco) complicating pregnancy, first trimester",ICD10
O28.3,,Abnormal ultrasonic finding on antenatal screening of mother,ICD10
O36.0190,,"Maternal care for anti-D [Rh] antibodies, unspecified trimester, not applicable or unspecified",ICD10
O36.8190,,"Decreased fetal movements, unspecified trimester, not applicable or unspecified",ICD10
O99.351,,"Diseases of the nervous system complicating pregnancy, first trimester",ICD10
O23.93,,"Unspecified genitourinary tract infection in pregnancy, third trimester",ICD10
O41.1030,,"Infection of amniotic sac and membranes, unspecified, third trimester, not applicable or unspecified",ICD10
O75.81,,Maternal exhaustion complicating labor and delivery,ICD10
O90.89,,"Other complications of the puerperium, not elsewhere classified",ICD10
O41.1290,,"Chorioamnionitis, unspecified trimester, not applicable or unspecified",ICD10
O14.15,,"Severe pre-eclampsia, complicating the puerperium",ICD10
O99.43,,Diseases of the circulatory system complicating the puerperium,ICD10
O36.8130,,"Decreased fetal movements, third trimester, not applicable or unspecified",ICD10
O99.012,,"Anemia complicating pregnancy, second trimester",ICD10
O11.2,,"Pre-existing hypertension with pre-eclampsia, second trimester",ICD10
O14.25,,"HELLP syndrome, complicating the puerperium",ICD10
O99.341,,"Other mental disorders complicating pregnancy, first trimester",ICD10
O26.91,,"Pregnancy related conditions, unspecified, first trimester",ICD10
O98.311,,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, first trimester",ICD10
O36.8120,,"Decreased fetal movements, second trimester, not applicable or unspecified",ICD10
O98.511,,"Other viral diseases complicating pregnancy, first trimester",ICD10
O24.420,,"Gestational diabetes mellitus in childbirth, diet controlled",ICD10
O44.12,,"Complete placenta previa with hemorrhage, second trimester",ICD10
O98.512,,"Other viral diseases complicating pregnancy, second trimester",ICD10
O98.312,,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, second trimester",ICD10
O36.8930,,"Maternal care for other specified fetal problems, third trimester, not applicable or unspecified",ICD10
O35.0XX1,,"Maternal care for (suspected) central nervous system malformation in fetus, fetus 1",ICD10
O99.113,,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, third trimester",ICD10
O32.4XX0,,"Maternal care for high head at term, not applicable or unspecified",ICD10
O99.13,,Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating the puerperium,ICD10
O26.43,,"Herpes gestationis, third trimester",ICD10
O26.90,,"Pregnancy related conditions, unspecified, unspecified trimester",ICD10
O32.9XX0,,"Maternal care for malpresentation of fetus, unspecified, not applicable or unspecified",ICD10
O73.1,,"Retained portions of placenta and membranes, without hemorrhage",ICD10
O90.3,,Peripartum cardiomyopathy,ICD10
O36.8121,,"Decreased fetal movements, second trimester, fetus 1",ICD10
O36.8990,,"Maternal care for other specified fetal problems, unspecified trimester, not applicable or unspecified",ICD10
O73.0,,Retained placenta without hemorrhage,ICD10
O32.0XX0,,"Maternal care for unstable lie, not applicable or unspecified",ICD10
O32.8XX1,,"Maternal care for other malpresentation of fetus, fetus 1",ICD10
O72.0,,Third-stage hemorrhage,ICD10
O45.093,,"Premature separation of placenta with other coagulation defect, third trimester",ICD10
O98.72,,Human immunodeficiency virus [HIV] disease complicating childbirth,ICD10
O92.29,,Other disorders of breast associated with pregnancy and the puerperium,ICD10
O34.12,,"Maternal care for benign tumor of corpus uteri, second trimester",ICD10
O12.10,,"Gestational proteinuria, unspecified trimester",ICD10
O12.14,,"Gestational proteinuria, complicating childbirth",ICD10
O67.9,,"Intrapartum hemorrhage, unspecified",ICD10
O60.02,,"Preterm labor without delivery, second trimester",ICD10
O41.8X30,,"Other specified disorders of amniotic fluid and membranes, third trimester, not applicable or unspecified",ICD10
O98.413,,"Viral hepatitis complicating pregnancy, third trimester",ICD10
O34.31,,"Maternal care for cervical incompetence, first trimester",ICD10
O12.02,,"Gestational edema, second trimester",ICD10
O92.70,,Unspecified disorders of lactation,ICD10
O91.22,,Nonpurulent mastitis associated with the puerperium,ICD10
O71.1,,Rupture of uterus during labor,ICD10
O99.72,,Diseases of the skin and subcutaneous tissue complicating childbirth,ICD10
O99.335,,Smoking (tobacco) complicating the puerperium,ICD10
O36.0110,,"Maternal care for anti-D [Rh] antibodies, first trimester, not applicable or unspecified",ICD10
O43.813,,"Placental infarction, third trimester",ICD10
O60.10X0,,"Preterm labor with preterm delivery, unspecified trimester, not applicable or unspecified",ICD10
O02.81,,Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy,ICD10
O98.713,,"Human immunodeficiency virus [HIV] disease complicating pregnancy, third trimester",ICD10
O30.043,multiple-gestation,"Twin pregnancy, dichorionic/diamniotic, third trimester",ICD10
O42.10,,"Premature rupture of membranes, onset of labor more than 24 hours following rupture, unspecified weeks of gestation",ICD10
O32.1XX2,,"Maternal care for breech presentation, fetus 2",ICD10
O98.22,,Gonorrhea complicating childbirth,ICD10
O98.319,,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, unspecified trimester",ICD10
O99.314,,Alcohol use complicating childbirth,ICD10
O24.313,,"Unspecified pre-existing diabetes mellitus in pregnancy, third trimester",ICD10
O98.73,,Human immunodeficiency virus [HIV] disease complicating the puerperium,ICD10
O24.312,,"Unspecified pre-existing diabetes mellitus in pregnancy, second trimester",ICD10
O98.712,,"Human immunodeficiency virus [HIV] disease complicating pregnancy, second trimester",ICD10
O40.3XX0,,"Polyhydramnios, third trimester, not applicable or unspecified",ICD10
O91.119,,"Abscess of breast associated with pregnancy, unspecified trimester",ICD10
O24.02,,"Pre-existing type 1 diabetes mellitus, in childbirth",ICD10
O36.60X0,,"Maternal care for excessive fetal growth, unspecified trimester, not applicable or unspecified",ICD10
O98.711,,"Human immunodeficiency virus [HIV] disease complicating pregnancy, first trimester",ICD10
O91.112,,"Abscess of breast associated with pregnancy, second trimester",ICD10
O98.719,,"Human immunodeficiency virus [HIV] disease complicating pregnancy, unspecified trimester",ICD10
O98.911,,"Unspecified maternal infectious and parasitic disease complicating pregnancy, first trimester",ICD10
O99.280,,"Endocrine, nutritional and metabolic diseases complicating pregnancy, unspecified trimester",ICD10
O90.9,,"Complication of the puerperium, unspecified",ICD10
O36.8931,,"Maternal care for other specified fetal problems, third trimester, fetus 1",ICD10
O36.0990,,"Maternal care for other rhesus isoimmunization, unspecified trimester, not applicable or unspecified",ICD10
O36.5992,,"Maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 2",ICD10
O36.4XX0,,"Maternal care for intrauterine death, not applicable or unspecified",ICD10
O99.519,,"Diseases of the respiratory system complicating pregnancy, unspecified trimester",ICD10
O26.613,,"Liver and biliary tract disorders in pregnancy, third trimester",ICD10
O98.33,,Other infections with a predominantly sexual mode of transmission complicating the puerperium,ICD10
O98.813,,"Other maternal infectious and parasitic diseases complicating pregnancy, third trimester",ICD10
O42.92,,"Full-term premature rupture of membranes, unspecified as to length of time between rupture and onset of labor",ICD10
O69.81X0,,"Labor and delivery complicated by cord around neck, without compression, not applicable or unspecified",ICD10
O62.2,,Other uterine inertia,ICD10
O35.9XX9,,"Maternal care for (suspected) fetal abnormality and damage, unspecified, other fetus",ICD10
O14.24,,"HELLP syndrome, complicating childbirth",ICD10
O34.82,,"Maternal care for other abnormalities of pelvic organs, second trimester",ICD10
O36.63X9,,"Maternal care for excessive fetal growth, third trimester, other fetus",ICD10
O75.4,,Other complications of obstetric surgery and procedures,ICD10
O34.62,,"Maternal care for abnormality of vagina, second trimester",ICD10
O02.9,,"Abnormal product of conception, unspecified",ICD10
O26.20,,"Pregnancy care for patient with recurrent pregnancy loss, unspecified trimester",ICD10
O99.511,,"Diseases of the respiratory system complicating pregnancy, first trimester",ICD10
O34.43,,"Maternal care for other abnormalities of cervix, third trimester",ICD10
O36.0992,,"Maternal care for other rhesus isoimmunization, unspecified trimester, fetus 2",ICD10
O43.812,,"Placental infarction, second trimester",ICD10
O41.1220,,"Chorioamnionitis, second trimester, not applicable or unspecified",ICD10
O60.12X1,,"Preterm labor second trimester with preterm delivery second trimester, fetus 1",ICD10
O42.112,,"Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, second trimester",ICD10
O42.912,,"Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, second trimester",ICD10
O23.03,,"Infections of kidney in pregnancy, third trimester",ICD10
O99.312,,"Alcohol use complicating pregnancy, second trimester",ICD10
O98.812,,"Other maternal infectious and parasitic diseases complicating pregnancy, second trimester",ICD10
O99.320,,"Drug use complicating pregnancy, unspecified trimester",ICD10
O12.13,,"Gestational proteinuria, third trimester",ICD10
O98.811,,"Other maternal infectious and parasitic diseases complicating pregnancy, first trimester",ICD10
O36.4XX1,,"Maternal care for intrauterine death, fetus 1",ICD10
O34.81,,"Maternal care for other abnormalities of pelvic organs, first trimester",ICD10
O34.11,,"Maternal care for benign tumor of corpus uteri, first trimester",ICD10
O23.13,,"Infections of bladder in pregnancy, third trimester",ICD10
O14.10,,"Severe pre-eclampsia, unspecified trimester",ICD10
O41.8X10,,"Other specified disorders of amniotic fluid and membranes, first trimester, not applicable or unspecified",ICD10
O36.0134,,"Maternal care for anti-D [Rh] antibodies, third trimester, fetus 4",ICD10
O34.10,,"Maternal care for benign tumor of corpus uteri, unspecified trimester",ICD10
O22.41,,"Hemorrhoids in pregnancy, first trimester",ICD10
O46.8X1,,"Other antepartum hemorrhage, first trimester",ICD10
O99.111,,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, first trimester",ICD10
O41.02X0,,"Oligohydramnios, second trimester, not applicable or unspecified",ICD10
O36.0130,,"Maternal care for anti-D [Rh] antibodies, third trimester, not applicable or unspecified",ICD10
O99.713,,"Diseases of the skin and subcutaneous tissue complicating pregnancy, third trimester",ICD10
O26.62,,Liver and biliary tract disorders in childbirth,ICD10
O26.619,,"Liver and biliary tract disorders in pregnancy, unspecified trimester",ICD10
O61.1,,Failed instrumental induction of labor,ICD10
O43.213,,"Placenta accreta, third trimester",ICD10
O43.219,,"Placenta accreta, unspecified trimester",ICD10
O43.223,,"Placenta increta, third trimester",ICD10
O13.2,,"Gestational [pregnancy-induced] hypertension without significant proteinuria, second trimester",ICD10
O92.5,,Suppressed lactation,ICD10
O99.411,,"Diseases of the circulatory system complicating pregnancy, first trimester",ICD10
O00.9,,"Ectopic pregnancy, unspecified",ICD10
O32.1XX1,,"Maternal care for breech presentation, fetus 1",ICD10
O12.05,,"Gestational edema, complicating the puerperium",ICD10
O66.0,,Obstructed labor due to shoulder dystocia,ICD10
O21.2,,Late vomiting of pregnancy,ICD10
O21.1,,Hyperemesis gravidarum with metabolic disturbance,ICD10
O26.872,,"Cervical shortening, second trimester",ICD10
O99.712,,"Diseases of the skin and subcutaneous tissue complicating pregnancy, second trimester",ICD10
O26.873,,"Cervical shortening, third trimester",ICD10
O23.591,,"Infection of other part of genital tract in pregnancy, first trimester",ICD10
O23.599,,"Infection of other part of genital tract in pregnancy, unspecified trimester",ICD10
O00.00,,Abdominal pregnancy without intrauterine pregnancy,ICD10
O12.11,,"Gestational proteinuria, first trimester",ICD10
O13.9,,"Gestational [pregnancy-induced] hypertension without significant proteinuria, unspecified trimester",ICD10
O32.8XX0,,"Maternal care for other malpresentation of fetus, not applicable or unspecified",ICD10
O36.63X5,,"Maternal care for excessive fetal growth, third trimester, fetus 5",ICD10
O69.89X0,,"Labor and delivery complicated by other cord complications, not applicable or unspecified",ICD10
O26.811,,"Pregnancy related exhaustion and fatigue, first trimester",ICD10
O23.11,,"Infections of bladder in pregnancy, first trimester",ICD10
O24.435,,"Gestational diabetes mellitus in puerperium, controlled by oral hypoglycemic drugs",ICD10
O98.411,,"Viral hepatitis complicating pregnancy, first trimester",ICD10
O23.10,,"Infections of bladder in pregnancy, unspecified trimester",ICD10
O98.43,,Viral hepatitis complicating the puerperium,ICD10
O25.11,,"Malnutrition in pregnancy, first trimester",ICD10
O99.719,,"Diseases of the skin and subcutaneous tissue complicating pregnancy, unspecified trimester",ICD10
O26.611,,"Liver and biliary tract disorders in pregnancy, first trimester",ICD10
O44.20,,"Partial placenta previa NOS or without hemorrhage, unspecified trimester",ICD10
O23.30,,"Infections of other parts of urinary tract in pregnancy, unspecified trimester",ICD10
O62.3,,Precipitate labor,ICD10
O66.5,,Attempted application of vacuum extractor and forceps,ICD10
O36.5120,,"Maternal care for known or suspected placental insufficiency, second trimester, not applicable or unspecified",ICD10
O28.5,,Abnormal chromosomal and genetic finding on antenatal screening of mother,ICD10
O30.001,multiple-gestation,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester",ICD10
O31.8X31,,"Other complications specific to multiple gestation, third trimester, fetus 1",ICD10
O30.049,multiple-gestation,"Twin pregnancy, dichorionic/diamniotic, unspecified trimester",ICD10
O30.041,multiple-gestation,"Twin pregnancy, dichorionic/diamniotic, first trimester",ICD10
O43.023,,"Fetus-to-fetus placental transfusion syndrome, third trimester",ICD10
O36.8332,,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, fetus 2",ICD10
O30.042,multiple-gestation,"Twin pregnancy, dichorionic/diamniotic, second trimester",ICD10
O36.5931,,"Maternal care for other known or suspected poor fetal growth, third trimester, fetus 1",ICD10
O36.8331,,"Maternal care for abnormalities of the fetal heart rate or rhythm, third trimester, fetus 1",ICD10
O40.3XX1,,"Polyhydramnios, third trimester, fetus 1",ICD10
O30.033,multiple-gestation,"Twin pregnancy, monochorionic/diamniotic, third trimester",ICD10
O24.911,,"Unspecified diabetes mellitus in pregnancy, first trimester",ICD10
O26.812,,"Pregnancy related exhaustion and fatigue, second trimester",ICD10
O69.81X1,,"Labor and delivery complicated by cord around neck, without compression, fetus 1",ICD10
O41.03X2,,"Oligohydramnios, third trimester, fetus 2",ICD10
O36.1111,,"Maternal care for Anti-A sensitization, first trimester, fetus 1",ICD10
O36.1190,,"Maternal care for Anti-A sensitization, unspecified trimester, not applicable or unspecified",ICD10
O36.1130,,"Maternal care for Anti-A sensitization, third trimester, not applicable or unspecified",ICD10
O36.1191,,"Maternal care for Anti-A sensitization, unspecified trimester, fetus 1",ICD10
O75.82,,"Onset (spontaneous) of labor after 37 completed weeks of gestation but before 39 completed weeks gestation, with delivery by (planned) cesarean section",ICD10
O36.1930,,"Maternal care for other isoimmunization, third trimester, not applicable or unspecified",ICD10
O98.313,,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, third trimester",ICD10
O03.39,,Incomplete spontaneous abortion with other complications,ICD10
O03.1,,Delayed or excessive hemorrhage following incomplete spontaneous abortion,ICD10
O34.90,,"Maternal care for abnormality of pelvic organ, unspecified, unspecified trimester",ICD10
O47.9,,"False labor, unspecified",ICD10
O26.842,,"Uterine size-date discrepancy, second trimester",ICD10
O40.9XX0,,"Polyhydramnios, unspecified trimester, not applicable or unspecified",ICD10
O12.12,,"Gestational proteinuria, second trimester",ICD10
O36.5933,,"Maternal care for other known or suspected poor fetal growth, third trimester, fetus 3",ICD10
O43.103,,"Malformation of placenta, unspecified, third trimester",ICD10
O14.92,,"Unspecified pre-eclampsia, second trimester",ICD10
O87.2,,Hemorrhoids in the puerperium,ICD10
O36.0120,,"Maternal care for anti-D [Rh] antibodies, second trimester, not applicable or unspecified",ICD10
O67.8,,Other intrapartum hemorrhage,ICD10
O12.15,,"Gestational proteinuria, complicating the puerperium",ICD10
O10.12,,Pre-existing hypertensive heart disease complicating childbirth,ICD10
O10.111,,"Pre-existing hypertensive heart disease complicating pregnancy, first trimester",ICD10
O26.13,,"Low weight gain in pregnancy, third trimester",ICD10
O10.112,,"Pre-existing hypertensive heart disease complicating pregnancy, second trimester",ICD10
O36.8139,,"Decreased fetal movements, third trimester, other fetus",ICD10
O10.213,,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, third trimester",ICD10
O10.22,,Pre-existing hypertensive chronic kidney disease complicating childbirth,ICD10
O26.833,,"Pregnancy related renal disease, third trimester",ICD10
O26.22,,"Pregnancy care for patient with recurrent pregnancy loss, second trimester",ICD10
O98.819,,"Other maternal infectious and parasitic diseases complicating pregnancy, unspecified trimester",ICD10
O86.81,,Puerperal septic thrombophlebitis,ICD10
O10.113,,"Pre-existing hypertensive heart disease complicating pregnancy, third trimester",ICD10
O36.5990,,"Maternal care for other known or suspected poor fetal growth, unspecified trimester, not applicable or unspecified",ICD10
O87.1,,Deep phlebothrombosis in the puerperium,ICD10
O36.1920,,"Maternal care for other isoimmunization, second trimester, not applicable or unspecified",ICD10
O98.83,,Other maternal infectious and parasitic diseases complicating the puerperium,ICD10
O36.63X1,,"Maternal care for excessive fetal growth, third trimester, fetus 1",ICD10
O60.00,,"Preterm labor without delivery, unspecified trimester",ICD10
O98.412,,"Viral hepatitis complicating pregnancy, second trimester",ICD10
O99.321,,"Drug use complicating pregnancy, first trimester",ICD10
O36.0139,,"Maternal care for anti-D [Rh] antibodies, third trimester, other fetus",ICD10
O33.4XX0,,"Maternal care for disproportion of mixed maternal and fetal origin, not applicable or unspecified",ICD10
O36.5999,,"Maternal care for other known or suspected poor fetal growth, unspecified trimester, other fetus",ICD10
O43.212,,"Placenta accreta, second trimester",ICD10
O22.21,,"Superficial thrombophlebitis in pregnancy, first trimester",ICD10
O22.31,,"Deep phlebothrombosis in pregnancy, first trimester",ICD10
O87.9,,"Venous complication in the puerperium, unspecified",ICD10
O43.199,,"Other malformation of placenta, unspecified trimester",ICD10
O41.1231,,"Chorioamnionitis, third trimester, fetus 1",ICD10
O28.9,,Unspecified abnormal findings on antenatal screening of mother,ICD10
O24.429,,"Gestational diabetes mellitus in childbirth, unspecified control",ICD10
O88.212,,"Thromboembolism in pregnancy, second trimester",ICD10
O98.519,,"Other viral diseases complicating pregnancy, unspecified trimester",ICD10
O88.213,,"Thromboembolism in pregnancy, third trimester",ICD10
O88.02,,Air embolism in childbirth,ICD10
O69.1XX0,,"Labor and delivery complicated by cord around neck, with compression, not applicable or unspecified",ICD10
O88.22,,Thromboembolism in childbirth,ICD10
O69.2XX0,,"Labor and delivery complicated by other cord entanglement, with compression, not applicable or unspecified",ICD10
